lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
1,111.0,1,6,14,4,1,0,2018,2,1
66,98.1,2,9,3,4,1,1,2018,2,1
76,71.05,1,10,30,4,4,2,2018,2,1
102,109.0,0,10,16,3,2,0,2017,2,1
6,79.2,0,12,6,4,2,0,2018,1,1
118,110.0,0,6,6,3,3,1,2018,1,1
15,92.94,2,11,13,4,2,2,2018,2,1
80,136.0,0,10,9,3,2,0,2017,2,1
230,137.0,0,9,6,3,5,0,2018,2,0
305,89.0,0,11,4,3,2,1,2018,2,0
96,94.5,0,7,11,3,1,2,2017,2,0
65,149.4,1,9,9,4,2,0,2018,2,0
386,115.0,1,10,23,3,0,2,2018,2,0
304,89.0,0,11,3,3,3,0,2018,2,0
1,119.0,1,3,1,4,4,0,2018,2,1
1,78.0,2,12,14,4,1,0,2018,2,1
3,169.0,1,8,26,4,2,0,2018,2,1
58,138.6,2,12,24,4,1,0,2018,3,1
105,75.0,0,4,6,3,1,0,2018,2,0
10,97.0,0,3,13,4,0,1,2018,2,0
80,107.1,0,6,26,4,3,2,2018,2,1
1,197.0,1,12,30,4,3,0,2017,2,1
0,130.0,0,10,16,4,0,2,2018,2,1
55,104.0,0,4,6,3,1,0,2018,2,1
74,132.3,0,10,21,4,2,0,2018,2,0
8,111.35,1,5,31,4,3,0,2018,2,1
69,57.52,1,10,28,4,1,0,2018,1,1
2,79.6,0,1,3,4,2,2,2018,2,1
23,85.0,1,8,12,3,2,1,2018,2,1
80,126.9,2,5,13,4,2,0,2018,2,1
151,121.5,2,9,4,4,5,2,2018,2,0
62,132.3,3,10,14,4,2,1,2018,2,1
317,120.0,0,9,15,3,2,0,2018,2,0
118,110.0,0,6,6,3,2,1,2018,1,1
239,96.3,1,10,28,4,2,0,2018,2,0
39,109.0,0,8,14,3,2,0,2017,2,1
29,73.21,0,10,13,4,4,0,2017,2,1
88,117.0,1,5,3,3,3,0,2018,2,1
42,93.6,0,3,22,4,1,0,2018,2,1
42,72.76,0,4,26,3,3,0,2018,2,1
42,118.16,0,3,24,4,3,1,2018,2,1
245,110.0,0,7,6,3,4,2,2018,1,0
46,75.0,1,3,29,3,5,0,2018,2,1
12,79.0,1,12,21,2,1,0,2018,1,1
32,73.0,0,11,20,3,2,0,2017,1,1
5,133.0,0,3,23,4,3,0,2018,2,1
136,123.25,0,6,30,4,3,1,2018,2,1
78,69.53,1,4,4,4,2,1,2018,2,1
44,75.0,0,2,17,3,3,0,2018,2,1
108,98.25,0,9,19,4,1,2,2017,2,0
28,84.0,0,9,15,4,3,0,2017,2,1
185,66.13,0,7,6,4,0,1,2017,2,0
31,53.19,1,3,4,4,2,1,2018,2,1
6,103.0,0,3,13,4,0,2,2018,1,0
89,169.58,1,6,14,4,4,0,2018,3,0
66,130.5,2,7,24,4,0,2,2018,1,1
0,62.73,0,5,16,4,0,1,2018,2,1
64,149.4,0,9,16,4,1,0,2018,1,0
71,152.1,2,9,2,4,2,1,2018,2,1
53,85.5,0,9,17,3,1,2,2018,2,1
105,75.0,0,4,6,3,1,0,2018,2,0
95,99.9,1,10,31,4,0,1,2018,2,1
12,85.0,1,9,11,3,0,1,2018,1,1
147,84.58,1,7,22,3,2,1,2018,2,1
94,118.8,0,10,7,4,2,1,2018,2,0
124,48.33,1,3,15,3,5,1,2018,2,1
377,115.0,1,10,14,3,2,0,2018,2,0
150,121.83,2,6,14,4,5,1,2018,2,1
64,46.4,0,3,12,3,3,2,2018,2,1
93,115.0,0,10,15,3,1,2,2018,1,0
71,84.15,0,4,23,4,3,2,2018,2,1
386,115.0,1,10,23,3,0,2,2018,2,0
74,101.5,0,9,18,3,2,0,2017,2,1
2,72.1,0,2,26,3,2,0,2018,1,1
1,0.0,0,3,2,4,1,0,2018,1,1
14,116.0,0,8,8,3,5,2,2018,2,0
70,100.0,0,6,3,3,2,0,2018,2,1
0,174.0,1,8,22,4,1,0,2017,2,1
2,90.09,0,11,1,4,3,2,2017,1,1
42,85.5,2,9,21,4,3,1,2017,1,1
43,81.9,1,3,14,4,3,1,2018,2,1
43,125.53,1,4,30,4,1,1,2018,2,1
116,190.8,0,10,15,4,4,2,2018,2,0
280,110.0,0,9,19,3,2,1,2018,2,0
2,87.3,0,1,15,4,2,0,2018,2,1
5,131.0,0,4,21,4,2,0,2018,1,0
61,93.6,1,12,8,4,3,0,2018,2,1
37,95.0,0,10,13,3,3,0,2018,1,1
207,98.1,0,10,4,4,1,0,2018,2,0
66,75.0,0,10,9,3,2,1,2017,2,0
130,114.3,1,8,11,4,4,2,2018,2,1
151,71.0,0,1,19,3,3,0,2018,1,1
183,110.0,1,9,8,3,3,0,2018,2,0
75,85.5,1,4,11,4,2,1,2018,2,0
94,110.75,1,3,28,3,5,1,2018,2,1
9,109.0,1,3,16,4,2,0,2018,2,1
103,80.0,0,5,4,3,3,0,2018,2,1
131,132.3,0,10,15,4,1,2,2018,2,0
21,157.0,0,5,16,4,0,1,2018,3,0
19,80.0,0,10,6,3,3,0,2017,1,1
33,65.0,0,9,28,1,2,0,2018,1,1
247,115.0,1,6,6,3,1,1,2018,2,0
1,12.0,1,10,10,3,1,1,2017,2,1
336,78.0,0,9,21,3,4,1,2018,2,1
92,105.3,1,4,28,4,1,0,2018,2,1
213,108.95,1,8,2,4,5,0,2018,2,0
160,76.27,0,11,13,4,4,2,2018,2,0
121,80.75,0,5,26,3,3,0,2018,2,1
38,117.9,2,6,30,4,3,0,2018,2,1
1,127.0,0,2,26,4,1,0,2018,3,1
270,70.0,0,4,20,3,4,0,2018,1,1
4,108.99,1,9,15,4,3,1,2018,2,1
230,96.3,1,9,2,4,2,1,2018,2,1
28,87.0,1,12,17,4,1,0,2017,2,1
228,106.2,1,5,22,4,0,2,2018,2,0
49,158.4,0,10,10,4,3,1,2018,3,1
60,0.0,0,9,21,4,1,1,2017,1,1
3,102.8,2,4,23,4,1,1,2018,2,1
3,129.0,3,9,2,4,1,0,2018,2,1
79,116.1,1,5,24,4,2,0,2018,2,1
23,65.0,0,10,15,2,1,0,2017,1,1
32,86.15,1,2,19,4,2,2,2018,2,1
0,144.67,1,7,8,4,2,1,2018,2,1
6,108.0,0,2,5,4,2,0,2018,2,1
2,75.0,0,6,30,3,1,0,2018,2,1
317,120.0,0,9,15,3,2,0,2018,2,0
64,81.08,1,7,18,4,2,1,2018,2,1
66,58.0,1,2,11,3,2,0,2018,2,1
322,80.0,0,5,19,3,3,1,2018,2,0
95,87.04,0,4,23,3,5,2,2018,2,1
22,129.0,0,3,21,4,1,1,2018,2,0
191,86.75,0,7,25,4,4,1,2018,1,0
47,67.5,1,12,24,4,1,0,2017,2,1
16,148.0,1,2,27,4,3,2,2018,2,1
92,117.0,2,10,6,4,1,0,2018,2,1
153,96.9,1,7,3,3,3,2,2018,3,1
15,187.0,2,7,4,4,1,1,2018,3,1
40,139.5,0,10,5,4,2,0,2018,2,0
68,96.6,1,10,30,4,1,2,2018,2,1
39,101.5,0,8,14,3,2,0,2017,2,1
301,52.0,0,11,18,3,2,0,2018,2,0
28,100.0,0,5,19,2,2,0,2018,2,1
95,68.2,0,4,11,4,2,1,2018,2,1
164,100.0,0,10,2,3,2,0,2017,1,1
275,110.0,0,4,17,3,0,2,2018,2,0
102,87.0,0,10,16,3,2,0,2017,1,1
56,139.5,0,10,17,4,4,1,2018,2,0
69,98.25,2,10,25,4,1,2,2017,2,1
315,52.0,0,12,2,3,2,0,2018,2,1
81,143.1,2,5,12,4,3,0,2018,2,1
181,76.5,2,8,6,4,2,0,2017,2,0
57,76.2,0,12,26,4,6,2,2017,2,1
34,159.3,0,4,30,4,1,1,2018,3,0
72,79.65,0,10,30,4,2,2,2018,2,0
69,120.0,0,6,12,3,4,2,2018,1,0
67,123.3,1,7,20,4,2,0,2018,2,1
102,101.5,0,10,16,3,2,0,2017,2,0
71,79.2,1,12,8,4,1,0,2018,2,1
1,60.0,0,2,28,3,1,2,2018,1,0
214,90.9,0,8,16,4,3,0,2018,1,0
17,80.0,1,3,17,2,2,0,2018,2,1
164,100.0,0,10,2,3,2,0,2017,1,1
148,130.0,0,9,14,3,3,0,2018,2,0
222,100.58,1,8,28,4,4,2,2018,2,0
13,85.0,1,3,20,3,0,1,2018,2,1
144,92.55,0,5,25,4,4,1,2018,2,1
12,75.0,0,1,22,4,2,0,2018,2,1
273,106.2,0,9,30,4,2,1,2018,2,0
146,91.98,0,6,20,4,3,1,2018,2,1
113,137.7,2,7,12,4,3,0,2018,3,1
8,91.0,1,6,23,4,1,0,2018,2,1
106,79.0,0,11,6,2,4,2,2018,1,0
4,82.0,0,1,10,4,0,1,2018,1,1
52,140.0,0,5,20,3,2,0,2018,2,1
105,75.0,0,4,6,3,1,0,2018,2,0
43,126.9,0,5,9,4,2,1,2018,2,0
92,80.3,1,3,7,4,2,1,2018,2,1
221,96.0,1,8,12,3,1,0,2018,2,1
88,60.0,1,3,4,3,2,1,2018,2,1
1,67.0,0,6,1,2,1,0,2018,1,1
2,127.0,0,6,28,4,1,0,2018,2,1
50,87.84,0,8,29,3,3,1,2018,2,1
16,93.0,0,2,18,4,3,0,2018,2,1
1,106.2,1,9,29,4,1,0,2018,2,1
301,52.0,0,11,18,3,2,0,2018,2,0
12,77.0,0,1,15,4,2,2,2018,2,1
86,104.4,2,10,26,4,2,0,2018,1,1
11,75.0,1,8,7,4,1,0,2017,2,1
104,76.5,0,4,15,4,2,2,2018,1,0
16,95.0,0,10,2,2,1,2,2018,1,1
14,75.47,0,1,18,4,10,5,2018,1,1
0,0.0,0,2,3,4,1,0,2018,1,1
36,168.3,1,7,26,4,5,2,2018,3,1
177,72.25,1,6,30,3,3,0,2018,2,1
231,100.3,1,9,11,4,2,2,2018,2,0
153,80.75,0,6,26,4,5,2,2018,1,0
0,65.0,0,3,14,2,2,1,2018,1,1
3,72.5,0,7,11,3,1,2,2017,1,1
57,109.65,0,5,13,4,3,2,2018,2,0
104,146.7,3,7,5,4,1,0,2018,3,1
137,136.34,1,8,4,4,3,1,2018,3,1
159,72.25,0,8,20,3,2,2,2018,2,1
10,93.0,1,2,9,4,3,0,2018,2,0
213,130.0,0,6,7,3,3,0,2018,2,0
45,86.4,2,12,8,4,3,0,2018,1,1
3,71.8,0,12,5,4,3,1,2018,1,1
5,200.33,2,10,28,4,2,1,2018,2,1
220,156.0,1,9,17,3,1,2,2018,2,0
308,78.3,1,11,23,4,3,0,2018,1,0
280,100.0,0,9,19,3,2,1,2018,1,0
39,71.1,0,3,3,4,3,1,2018,2,0
26,151.0,1,5,19,4,3,1,2018,2,1
47,135.0,0,10,11,4,2,0,2018,2,1
161,130.0,0,3,25,3,2,1,2018,2,0
5,105.0,2,8,16,4,1,2,2017,2,1
150,101.0,0,1,2,3,1,2,2018,2,1
40,100.1,1,11,11,4,2,0,2018,2,1
49,76.5,0,9,2,3,3,0,2017,2,1
81,132.6,0,6,7,4,4,0,2018,2,1
69,110.08,0,4,17,4,2,2,2018,2,1
3,145.0,2,9,12,4,0,1,2018,1,1
7,106.0,0,7,6,2,2,0,2018,1,1
74,143.1,2,5,13,4,2,1,2018,2,1
30,118.58,1,10,16,4,2,2,2017,2,1
64,144.5,0,4,9,4,2,2,2018,2,1
8,56.0,0,3,2,3,2,0,2018,1,1
86,95.85,1,3,26,4,3,2,2018,2,1
2,104.79,0,6,29,4,2,0,2018,2,1
0,127.0,0,6,23,4,1,0,2018,2,1
238,107.0,1,9,20,3,4,0,2018,2,0
35,108.0,1,11,2,4,3,0,2018,2,1
4,149.0,0,5,28,4,1,0,2018,2,1
107,68.0,0,11,25,3,2,0,2018,2,1
45,72.9,0,1,23,4,1,1,2018,1,0
192,95.0,0,6,24,3,2,0,2018,1,1
0,65.0,0,10,27,2,2,0,2017,1,1
15,70.0,0,12,27,3,5,1,2018,2,1
71,93.08,1,6,17,3,2,2,2018,2,1
40,131.4,1,3,22,4,1,0,2018,3,0
146,95.0,0,4,24,3,0,2,2018,2,0
1,80.0,0,1,19,3,3,0,2018,1,1
57,128.0,1,10,17,4,3,1,2018,2,1
196,102.85,0,9,4,4,6,4,2018,2,0
1,64.14,0,1,4,4,0,1,2018,1,1
12,140.5,0,12,20,3,2,2,2017,3,1
72,117.0,1,10,18,4,2,0,2018,2,0
1,0.0,1,9,1,1,1,0,2017,1,1
39,72.9,0,2,1,4,3,1,2018,1,0
418,107.0,0,9,26,3,2,1,2018,2,0
259,90.0,0,5,5,3,3,0,2018,2,0
191,132.0,0,6,3,3,2,1,2018,2,0
106,140.0,2,12,25,4,1,2,2018,3,1
12,119.0,2,9,2,4,1,0,2018,2,1
81,116.1,0,5,7,4,1,2,2018,2,1
0,123.0,0,10,11,4,0,2,2017,2,1
11,90.0,0,6,14,2,3,0,2018,1,1
14,98.67,1,10,30,3,2,1,2017,1,1
138,110.08,1,6,5,4,2,2,2018,2,1
77,132.3,2,10,7,4,2,1,2018,2,1
229,89.25,0,10,22,4,2,2,2018,2,0
93,76.5,2,8,15,4,3,2,2017,2,0
0,67.0,1,12,13,2,1,0,2018,1,1
277,96.3,2,10,21,4,2,0,2018,2,0
305,89.0,0,11,4,3,2,1,2018,2,0
14,119.0,2,4,21,4,2,0,2018,2,1
6,154.0,1,9,9,4,2,2,2018,2,0
270,62.8,0,4,20,3,4,0,2018,2,0
0,95.0,0,6,23,2,1,0,2018,1,1
18,148.5,0,4,25,4,0,1,2018,2,0
246,96.73,1,7,20,3,3,0,2018,3,0
13,90.0,2,8,18,4,2,0,2017,2,1
8,240.0,2,8,10,4,2,0,2018,2,1
46,86.4,0,12,7,4,3,0,2018,1,0
57,158.85,0,9,7,4,4,0,2018,3,0
304,89.0,0,11,3,3,3,0,2018,2,0
4,85.5,0,4,7,3,3,0,2018,2,1
71,120.0,0,6,14,3,3,0,2018,1,1
21,92.0,0,1,4,3,5,1,2018,2,1
73,140.0,2,12,5,4,2,1,2018,3,1
1,95.0,0,4,12,0,1,0,2018,1,0
191,100.3,0,5,11,4,4,1,2018,2,0
7,156.0,0,6,18,4,3,2,2018,2,0
34,65.0,0,3,4,3,3,2,2018,2,1
142,108.3,0,8,24,4,3,0,2018,2,1
185,79.2,0,12,16,4,2,1,2018,2,0
148,99.9,0,5,5,4,3,0,2018,1,1
35,107.1,1,3,27,4,0,2,2018,2,1
37,105.0,0,10,13,3,3,0,2018,2,1
44,75.0,0,2,17,3,3,0,2018,2,1
7,142.19,1,10,29,4,1,2,2018,2,1
9,111.0,0,11,25,4,1,0,2018,2,1
108,82.4,0,4,18,4,4,1,2018,2,0
26,119.7,0,3,28,4,5,1,2018,1,0
95,80.75,0,5,6,3,2,1,2018,2,1
213,130.0,0,6,7,3,3,0,2018,2,0
48,43.5,0,11,10,3,4,0,2017,2,1
202,128.85,2,9,6,4,4,0,2018,2,0
34,81.9,1,3,12,4,1,0,2018,2,1
0,155.0,2,10,19,4,0,1,2017,2,1
3,86.0,1,2,1,4,1,1,2018,1,1
13,80.0,0,3,17,3,3,0,2018,2,1
34,102.3,1,12,27,4,1,2,2017,2,1
46,54.75,1,3,11,4,2,1,2018,2,1
20,215.0,2,3,28,4,4,1,2018,2,1
198,159.3,3,9,22,4,3,0,2018,3,1
305,89.0,0,11,4,3,2,1,2018,2,0
14,100.0,1,11,2,4,1,0,2018,1,1
57,111.6,0,5,18,3,2,0,2018,3,1
58,79.2,0,12,12,4,0,1,2018,2,0
156,80.75,1,7,1,4,2,2,2018,2,1
164,100.0,0,10,2,3,2,0,2017,1,1
156,105.3,0,7,25,4,2,1,2018,2,0
48,158.4,0,10,15,4,2,2,2018,3,1
86,100.0,0,9,9,2,2,0,2017,2,1
85,85.0,1,10,6,3,3,1,2018,2,1
44,115.68,0,11,5,4,6,3,2018,2,1
40,88.2,0,3,20,4,0,1,2018,2,1
112,120.0,0,10,11,3,2,0,2018,1,1
169,130.05,0,7,25,4,5,1,2018,3,0
8,125.8,1,12,29,4,3,2,2018,2,1
37,105.0,0,10,13,3,3,0,2018,2,1
7,144.0,0,5,5,3,3,0,2018,2,1
2,67.0,0,12,16,2,1,0,2018,1,1
164,100.0,0,10,2,3,2,0,2017,1,1
9,153.0,2,8,17,4,2,1,2017,1,1
5,115.0,1,6,8,4,1,0,2018,1,1
81,116.1,1,5,3,4,2,0,2018,2,0
0,65.0,1,2,24,2,1,0,2018,1,1
81,90.9,0,6,23,4,1,0,2018,1,0
41,99.9,1,4,19,4,1,0,2018,1,1
48,104.0,0,9,11,3,1,0,2017,2,1
86,100.0,0,9,9,2,3,0,2017,2,1
158,90.0,1,11,25,4,2,0,2018,2,0
18,88.0,2,11,25,4,2,0,2018,2,1
39,71.1,1,3,4,4,2,1,2018,2,0
77,89.25,2,10,14,4,4,1,2017,2,1
76,93.6,1,11,3,4,3,0,2018,2,0
110,135.9,0,5,6,4,1,0,2018,2,0
257,101.5,0,7,1,3,2,0,2017,2,0
301,109.0,0,7,30,3,1,1,2018,2,0
34,74.8,1,11,20,4,10,5,2018,2,0
177,123.75,0,8,3,4,4,1,2018,2,0
238,54.09,0,12,26,4,3,1,2018,2,0
14,98.0,3,9,11,4,0,2,2018,2,1
8,86.6,0,6,26,3,0,1,2018,2,1
1,104.0,0,10,30,4,2,0,2017,2,1
57,137.7,2,4,21,4,3,0,2018,3,1
65,102.9,0,6,21,4,3,0,2018,2,1
163,76.5,2,8,19,4,4,2,2017,2,1
144,118.8,0,9,22,4,3,1,2018,2,0
166,110.0,0,11,1,3,3,0,2018,1,0
184,90.95,1,7,1,4,2,2,2018,2,1
81,89.25,0,9,16,4,4,2,2017,2,1
27,75.0,0,2,6,4,1,1,2018,2,0
59,109.8,1,8,31,4,4,0,2018,2,1
8,128.0,1,8,22,4,1,1,2018,2,1
57,90.67,1,6,10,3,2,1,2018,2,1
159,70.0,1,4,9,3,1,1,2018,2,1
5,177.0,2,5,3,4,2,0,2018,3,1
43,107.1,1,7,3,4,1,2,2018,2,1
4,139.0,1,7,6,4,2,0,2018,2,1
45,123.3,1,3,14,4,1,1,2018,3,1
5,100.0,0,9,20,2,0,2,2017,2,1
33,152.1,2,7,1,4,1,0,2018,2,1
105,82.45,0,4,18,4,3,1,2018,2,1
5,224.0,3,11,8,4,1,0,2018,2,1
118,110.0,0,6,6,3,1,1,2018,1,1
44,78.26,0,3,12,4,3,2,2018,2,0
53,75.95,1,2,20,4,2,2,2018,2,1
4,155.6,1,8,26,3,2,1,2018,3,1
91,185.85,0,5,13,4,2,0,2018,2,0
0,62.8,0,12,24,3,3,2,2017,2,1
120,99.45,0,5,9,4,3,1,2018,2,0
141,128.8,1,9,23,4,2,0,2018,2,1
233,90.95,0,8,29,4,5,1,2018,2,0
70,100.0,0,6,3,3,2,0,2018,2,1
7,101.45,1,8,24,4,4,0,2018,2,0
10,95.0,0,11,25,4,1,0,2018,2,0
0,79.0,0,12,3,2,1,0,2017,1,1
123,129.34,0,10,21,4,5,2,2018,2,1
8,77.5,1,1,19,4,2,0,2018,1,1
305,89.0,0,11,4,3,2,1,2018,2,0
0,113.0,1,10,19,4,1,1,2017,1,1
49,93.6,2,12,8,4,3,0,2018,2,1
247,93.0,1,6,6,3,1,1,2018,1,1
30,150.3,1,1,15,4,2,0,2018,2,1
25,108.0,2,9,12,4,0,1,2018,1,1
56,119.75,1,3,20,4,2,2,2018,2,1
19,114.0,0,5,7,4,1,1,2018,2,0
320,115.0,1,8,18,3,2,0,2018,2,0
9,109.33,1,12,28,4,3,0,2018,2,1
257,101.5,0,7,1,3,2,0,2017,2,0
3,114.67,0,3,7,4,5,1,2018,2,1
25,229.0,2,10,13,4,1,0,2018,2,1
49,88.4,2,11,14,4,4,1,2018,2,1
126,90.95,1,6,28,4,4,0,2018,2,1
74,109.0,0,9,18,3,2,0,2017,2,1
109,108.0,0,10,11,4,1,0,2018,2,0
166,110.0,0,11,1,3,3,0,2018,1,0
43,55.0,2,12,26,3,2,2,2017,2,1
35,76.5,1,10,26,3,1,1,2017,2,1
231,90.95,1,8,21,4,2,2,2018,2,1
172,95.0,0,6,24,3,2,0,2018,1,0
2,64.8,0,11,30,3,0,1,2017,1,1
315,52.0,0,12,2,3,2,0,2018,2,1
10,67.0,0,8,29,3,1,0,2017,1,1
115,87.0,0,2,27,3,2,2,2018,2,1
3,162.5,0,9,19,4,4,2,2017,2,1
194,86.75,0,7,15,4,1,0,2018,2,0
117,87.67,1,5,31,4,4,0,2018,2,1
233,168.3,0,10,7,4,1,0,2018,3,0
15,112.0,1,11,1,4,2,0,2018,1,1
31,78.3,0,1,16,4,1,0,2018,2,0
4,116.0,1,9,22,3,3,0,2017,2,1
32,136.0,1,10,24,4,1,1,2017,1,1
176,125.1,0,9,8,3,3,0,2018,2,0
204,72.75,0,10,9,3,2,2,2017,2,1
43,140.4,1,5,21,4,2,2,2018,2,1
39,109.0,0,8,14,3,2,0,2017,2,1
6,95.0,0,5,23,2,0,1,2018,1,1
75,72.0,0,3,17,4,2,0,2018,2,0
65,72.25,0,6,2,3,3,0,2018,2,1
174,214.2,0,10,29,4,2,2,2018,2,0
292,115.0,0,7,21,3,2,0,2018,2,0
19,90.0,0,10,6,3,3,0,2017,2,1
105,75.0,0,4,6,3,1,0,2018,2,0
1,65.0,1,12,29,2,1,0,2018,2,1
21,112.0,1,3,12,4,1,2,2018,2,1
64,105.61,2,12,26,4,3,1,2018,2,1
40,65.0,0,10,5,3,1,1,2017,1,1
258,110.0,0,10,16,3,0,1,2018,2,0
0,89.0,0,2,27,4,1,0,2018,1,1
292,115.0,0,7,21,3,2,0,2018,2,0
180,100.08,2,10,28,3,2,1,2018,2,0
30,104.64,1,9,15,4,2,0,2018,2,1
275,90.0,0,10,5,3,4,1,2018,2,0
0,124.0,0,8,11,4,3,0,2017,2,1
62,99.9,0,6,20,4,1,1,2018,2,0
9,71.6,1,1,10,4,2,2,2018,2,1
6,133.0,1,9,26,3,0,1,2018,3,1
168,85.0,0,4,22,3,2,1,2018,2,0
4,175.0,0,8,30,4,2,0,2018,3,1
7,85.0,0,2,22,4,0,1,2018,1,0
90,144.13,2,7,7,3,5,2,2018,3,1
25,72.93,0,12,4,4,5,2,2017,2,1
200,72.25,0,7,15,3,2,1,2018,2,1
116,113.56,0,8,6,3,1,2,2018,3,0
28,139.0,1,9,11,4,0,1,2018,2,1
8,97.02,0,10,20,4,4,0,2017,2,1
0,45.0,0,3,18,3,1,0,2018,1,1
3,65.0,0,12,10,2,1,0,2017,1,1
221,65.0,0,10,10,3,1,2,2017,2,1
31,88.0,0,12,2,4,2,0,2018,2,0
164,100.0,0,10,2,3,2,0,2017,1,1
8,96.0,1,12,19,4,2,1,2018,2,1
123,105.3,0,8,1,4,3,1,2018,2,0
151,105.3,1,7,15,4,1,0,2018,2,0
71,89.25,1,9,18,4,2,0,2017,2,1
79,150.45,0,5,16,4,3,1,2018,3,0
9,156.0,1,8,12,4,2,0,2018,2,0
60,65.0,0,9,21,3,1,1,2017,2,1
106,105.0,0,5,21,3,3,2,2018,2,1
8,149.0,1,9,7,4,2,0,2018,2,1
82,133.98,1,11,7,4,2,1,2018,1,0
86,182.53,0,9,25,3,3,2,2018,3,1
56,149.4,0,9,8,4,5,2,2018,2,0
12,146.0,2,6,14,4,4,0,2018,2,1
308,78.3,2,11,23,4,3,0,2018,2,0
2,82.9,1,1,12,4,2,0,2018,1,1
14,105.0,0,7,21,2,2,0,2018,2,1
0,88.0,0,12,28,4,1,0,2018,2,1
4,108.0,0,2,26,4,2,1,2018,2,1
211,100.0,0,5,20,3,2,0,2018,2,0
0,119.0,0,4,15,4,2,1,2018,2,1
12,145.0,0,7,10,4,1,2,2018,1,0
7,124.0,2,12,13,4,2,0,2018,2,1
33,71.53,0,1,31,4,5,2,2018,2,1
183,98.1,0,10,11,4,1,0,2018,1,0
55,94.5,1,10,9,4,2,0,2017,2,1
157,97.75,1,7,6,4,4,0,2018,2,1
71,120.0,0,6,14,3,3,0,2018,1,1
1,103.5,0,3,28,4,3,1,2018,2,1
43,144.23,0,8,29,4,3,1,2018,3,1
185,85.0,2,3,27,4,1,2,2018,2,1
212,126.9,0,10,31,4,4,1,2018,3,0
320,115.0,1,8,18,3,2,0,2018,2,0
56,69.11,0,9,16,4,4,1,2017,1,1
71,124.44,1,12,4,4,2,0,2017,3,1
42,152.1,1,8,14,4,2,2,2018,2,1
61,91.0,0,10,4,3,0,2,2017,2,1
16,106.0,1,2,26,4,2,1,2018,2,0
69,92.43,0,12,29,4,5,2,2017,2,1
53,118.8,1,4,21,4,3,0,2018,2,1
113,89.4,0,10,24,4,2,1,2018,2,0
56,98.4,1,12,27,4,3,0,2018,2,1
257,101.5,0,7,1,3,2,0,2017,2,0
103,94.5,0,7,18,3,1,2,2017,2,0
0,65.67,0,1,11,2,2,1,2018,1,1
317,120.0,0,9,15,3,2,0,2018,2,0
51,99.0,1,9,5,4,0,1,2018,2,1
23,90.95,1,11,4,4,4,0,2017,2,1
181,120.0,0,10,11,3,2,0,2018,1,0
263,67.0,0,9,21,3,0,1,2017,2,1
3,116.0,1,4,20,4,1,0,2018,2,1
1,100.0,0,10,2,3,2,0,2017,1,1
104,135.9,1,5,17,4,3,0,2018,2,1
52,96.9,0,12,7,4,4,0,2018,2,0
27,108.0,0,9,30,3,2,0,2017,2,1
173,80.75,0,7,8,4,5,2,2018,2,0
6,95.0,0,10,13,4,1,0,2018,1,1
1,60.0,0,2,28,3,1,2,2018,1,0
139,116.45,0,7,11,4,4,1,2018,2,0
141,76.5,0,8,7,4,3,2,2017,2,1
74,109.0,0,9,18,3,2,0,2017,2,1
65,82.13,1,11,19,4,1,2,2018,2,0
4,119.0,0,3,21,4,1,1,2018,2,0
113,55.63,0,3,29,4,4,0,2018,2,1
128,97.43,1,7,11,4,2,1,2018,2,1
25,129.0,0,5,10,4,3,0,2018,1,1
336,70.0,0,9,21,3,4,1,2018,1,1
135,90.0,0,9,14,3,2,1,2017,2,0
0,0.0,0,8,25,1,2,0,2017,1,1
35,138.38,1,3,22,4,4,0,2018,3,1
93,76.5,1,7,23,4,2,0,2017,2,0
0,141.49,0,10,29,4,1,0,2018,2,1
16,102.0,2,12,29,4,3,1,2018,2,1
9,68.23,1,1,28,4,17,6,2018,1,1
0,0.0,3,5,4,1,1,0,2018,3,1
4,181.79,0,9,19,2,3,1,2018,1,1
32,168.3,1,7,28,4,3,0,2018,3,1
273,95.0,0,5,13,3,2,1,2018,2,0
7,89.0,1,11,3,4,2,0,2017,1,1
107,118.8,1,9,5,4,3,1,2018,2,0
38,67.5,0,2,11,4,3,2,2018,2,0
256,76.67,0,9,14,3,2,1,2017,2,1
35,104.85,1,10,17,4,1,1,2017,2,1
107,90.0,1,8,12,4,1,0,2017,2,1
131,112.5,0,6,30,4,3,0,2018,2,0
104,186.3,2,4,27,4,2,0,2018,2,1
4,91.0,0,2,13,4,1,0,2018,2,0
46,123.3,2,3,31,4,2,0,2018,3,1
169,106.0,0,4,22,3,2,2,2018,2,0
102,87.0,0,10,16,3,2,0,2017,1,1
3,79.75,0,2,7,3,3,2,2018,1,1
85,75.0,0,10,6,3,3,1,2018,1,1
0,115.0,0,8,10,4,3,1,2017,2,1
77,104.4,2,10,25,4,3,0,2018,2,1
31,98.1,0,5,22,4,0,2,2018,2,0
212,81.77,0,6,19,4,0,2,2018,2,0
39,77.5,1,3,4,4,2,0,2018,1,1
4,147.0,0,7,19,2,3,0,2018,1,1
265,115.0,1,6,24,3,2,0,2018,2,0
16,102.0,1,1,27,4,1,0,2018,2,1
112,94.5,1,7,17,4,2,2,2018,2,1
0,0.0,1,2,17,1,1,0,2018,2,1
85,90.0,0,9,9,2,2,0,2017,1,1
